class	model	mode	config	flags	exit	raw	unique	canon-sha256	note
solve-positive	i57-navParent	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	fcf6dbc3e83fcf773e1de79e830fd7855dea0065bd33e28ad2da564171909c58	
solve-positive	i61-cardinalities	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	12	12	0a77324e912f2fb3cbc270a41adfe25ad588950ea7924b1ae2e74bac60ee5b7a	
solve-positive	i70	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	3	3	8adcda323d805e6637dfc96208ccb83bfcb0718a1020ed378569be5bf408cc18	
solve-positive	i71	excluded	declared	-	-	-	-	-	no termination within 150 s at a 300,001-instance cap
solve-positive	i72-shared-reference	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	e8ad1ed0e4112588092a16736cf79601e8bf7c9fff0c96f0967a540f73bb4ccc	
solve-positive	i78_transitive-closure	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	2af38c119ca20bf2020da024e95574c75755f1b8ef9580d6aee8d6170b0ade90	
solve-positive	i83-individual-scope	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	6	6	54e93d660c496f8c9c6e556ce55656c3699bc5c828f9b13511b974274dc70032	
solve-positive	i84-references-pointing-to-the-same-object	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	8	8	9ab9d5491d22ab49284011751bfe265fc921b58953ae20eab4ec9ffd63bb429e	
solve-positive	i95-subclafers-not-visible-via-reference-reference	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	3	3	1a9f1a6098c3aaeb488038c1e2205511f7a17b209e1b4c526b8ca4d4046af409	
solve-positive	i98_top-level-references	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	3ba70b50d3712fc94c3a8bb748ca360af74c5fbe447b1f34e19b880aedcbe4ea	
solve-positive	layout	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	bd23c96528b3625c468743ab667384d129554412b574e1a43922990eebfba833	
solve-positive	Linux_model	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	6	6	556c50841a8f95851b7f4b296055ca6e93e3cc88b2b43fab5b57cf4932c272e9	
solve-positive	multihier	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	a3c2c6bf389a2e04bbffaf73d749fb6d9f21a096fb50038613a46f8e61f48f91	
solve-positive	NECSIS-Workshop_Modeling_Variability_7	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	16	16	2637179e1144b26439288ac4343285eceaa606b720448442cf19248696c912d5	
solve-positive	negative	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	e217710f01421f434e11286f5fe16bf1683e8d8c67832ae24e3edf0fdd30008c	
solve-positive	noAndNot	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	13aa6a9dc496caa35b77624cb88798d7b197e62373ab6585ce485f47b6596066	
solve-positive	oclBench_b3	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	0b7a4ffea85fa42342b5c7d7b703574b537274335d4709d45a156ded1760b128	
solve-positive	optionalClaferInitializer	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	4	4	79f6298b7b240a861a9c9e4a816451019c9aa7612c6369bf3f2170a0ce13b2a7	
solve-positive	paths	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	3	3	9af9d3eaf36e55b06fffd68d46b67fd31cf18a9406fedbbf91d9c1ae72aa2dec	
solve-positive	person_tutorial	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (3.3 s to the cap)
solve-positive	personRelatives	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	9	9	94b2841829537212401ac5b35a948a50c87de725da2d973b25c4384a34cdf770	
solve-positive	powerWindow_doubleDoor	excluded	declared	-	-	-	-	-	no termination within 150 s at a 300,001-instance cap
solve-positive	powerWindow_singleDoor	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 1500 -n 300000	0	1318	1318	484b868ad17a236ea6a2d67030c97140756029e84399d32e299ac7d57828a99b	hash-only: canonical text above STORE_LIMIT (4000000 bytes) dropped after hashing
solve-positive	references-in-bound-identifiers	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	2	2	97cdc1647672d0bdc50d9e73bdeeb0404f050ed0cef69611314f6214483fe371	
solve-positive	references-refinement	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	2	2	65a67b3d4085f7763218590b3a2aaf812d5be4952b7a3cedbc8d5702881fd5d9	
solve-positive	resolution	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	7	7	97543101ae7492a51b01e5edfe1b1e3492efac64e2c0a581e184447f079784d4	
solve-positive	scopes	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (17.6 s to the cap)
solve-positive	Scotiabank_Mortgages	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	ff1e062e63e7f3c72225ac52dbf0724ed11bebf647381e1235b0ac90643a2057	
solve-positive	simple-arithmetic	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	43eb38ae13e1a7568da663b9d56524f4b513e45e3be4e061a3adba69fcbfe11c	
solve-positive	simpleConstraint	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	3	3	5c7da19c7aac22c5ad4b376a5d9347e6459bc9a455bf60974e816ce718cc217e	
solve-positive	subtyping-primitive-types	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	b53313a14cd437e59b23a557f8f07d66cdf1301dda1a7350d00be04c672e844c	
solve-positive	Telematics_PLA	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	f8b749c2f0bc764c7f34aeb85d5c48385e64f6ede2072ee6762de4f6e8831ea5	
solve-positive	telematics	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	1	1	d1e9e93bd361ae3b5902114cfc2a9e551729dd805a47aad461302ee829332714	
solve-positive	test_neg_typesystem	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	15	15	0f20e7cce6c09b3c139b264c6ef81b4f76cacb9deb53dde2b37433b6ba7411f0	
solve-positive	toeklk	instantiate	declared	--search PreferSmallerInstances --minint 0 --maxint 64 -n 300000	0	15	15	cddb7493253d0f62a6a0a749d673176901f25f7d000bee76b6fda9d7003942c5	
solve-positive	top_level_constraints_with_relational_joins	instantiate	declared	--search PreferSmallerInstances --minint -8 --maxint 7 -n 300000	0	4	4	be897894abbc6ab917f4f5b4a1a9afc700afedc8bd00903ef709b74c0e61fa88	
solve-positive	Tutorial_Intro	excluded	declared	-	-	-	-	-	exceeds 300,001 instances at its declared scopes (3.3 s to the cap)
